essround,cntry,dweight,pweight,anweight,tvtot,sclmeet,wkhtot
4,BE,1.0074,0.50377333,0.41471794,7,5,36
4,BE,1.0074,0.50377333,0.40231818,7,6,38
4,BE,1.0074,0.50377333,0.39194554,2,7,70
4,BE,1.0074,0.50377333,0.39180237,7,5,45
4,BE,1.0074,0.50377333,0.48410624,0,6,38
4,BE,1.0074,0.50377333,0.4839294,0,5,13
4,BE,1.0074,0.50377333,0.5850167,4,6,666
4,BE,1.0074,0.50377333,0.40231818,6,6,40
4,BE,1.0074,0.50377333,0.41471794,3,6,40
4,BE,1.0074,0.50377333,0.39194554,3,4,38
4,BE,1.0074,0.50377333,0.39180237,3,6,12
4,BE,1.0074,0.50377333,0.39180237,6,4,666
4,BE,1.0074,0.50377333,0.6028271,2,6,38
4,BE,1.0074,0.50377333,0.39180237,7,6,40
4,BE,1.0074,0.50377333,0.5697256,7,4,25
4,BE,1.0074,0.50377333,0.47145262,3,5,36
4,BE,1.0074,0.50377333,0.48410624,0,6,45
4,BE,1.0074,0.50377333,0.5699338,7,2,40
4,BE,1.0074,0.50377333,0.47145262,4,4,52
4,BE,1.0074,0.50377333,0.49884444,4,4,75
4,BE,1.0074,0.50377333,0.49866217,4,5,24
4,BE,1.0074,0.50377333,0.5850167,2,6,666
4,BE,1.0074,0.50377333,0.4712804,3,3,32
4,BE,1.0074,0.50377333,0.48410624,3,6,38
4,BE,1.0074,0.50377333,0.39194554,4,4,50
4,BE,1.0074,0.50377333,0.39180237,5,6,30
4,BE,1.0074,0.50377333,0.39194554,4,3,45
4,BE,1.0074,0.50377333,0.49884444,5,5,50
4,BE,1.0074,0.50377333,0.40246522,1,6,70
4,BE,1.0074,0.50377333,0.49884444,7,6,29
4,BE,1.0074,0.50377333,0.41456643,4,4,32
4,BE,1.0074,0.50377333,0.47145262,3,4,38
4,BE,1.0074,0.50377333,0.4712804,7,2,26
4,BE,1.0074,0.50377333,0.40246522,2,7,45
4,BE,1.0074,0.50377333,0.5697256,4,1,888
4,BE,1.0074,0.50377333,0.4839294,5,6,38
4,BE,1.0074,0.50377333,0.5850167,5,5,50
4,BE,1.0074,0.50377333,0.41456643,3,5,60
4,BE,1.0074,0.50377333,0.41456643,1,6,20
4,BE,1.0074,0.50377333,0.5699338,7,7,38
4,BE,1.0074,0.50377333,0.4712804,6,6,45
4,BE,1.0074,0.50377333,0.48410624,3,6,40
4,BE,1.0074,0.50377333,0.49884444,7,4,38
4,BE,1.0074,0.50377333,0.4839294,6,6,40
4,BE,1.0074,0.50377333,0.48410624,7,6,38
4,BE,1.0074,0.50377333,0.41456643,6,4,20
4,BE,1.0074,0.50377333,0.47145262,6,2,38
4,BE,1.0074,0.50377333,0.49884444,1,6,38
4,BE,1.0074,0.50377333,0.6028271,0,7,40
4,BE,1.0074,0.50377333,0.4712804,6,4,666
4,BE,1.0074,0.50377333,0.5697256,2,2,666
4,BE,1.0074,0.50377333,0.41471794,3,4,45
4,BE,1.0074,0.50377333,0.4884687,6,3,60
4,BE,1.0074,0.50377333,0.48410624,6,6,4
4,BE,1.0074,0.50377333,0.5697256,7,6,40
4,BE,1.0074,0.50377333,0.5699338,4,6,38
4,BE,1.0074,0.50377333,0.41471794,3,3,55
4,BE,1.0074,0.50377333,0.41471794,7,6,45
4,BE,1.0074,0.50377333,0.4839294,4,6,32
4,BE,1.0074,0.50377333,0.49866217,3,4,22
4,BE,1.0074,0.50377333,0.5697256,6,6,38
4,BE,1.0074,0.50377333,0.5699338,7,6,38
4,BE,1.0074,0.50377333,0.40246522,5,6,34
4,BE,1.0074,0.50377333,0.60304743,4,7,40
4,BE,1.0074,0.50377333,0.4839294,1,6,70
4,BE,1.0074,0.50377333,0.5699338,4,4,45
4,BE,1.0074,0.50377333,0.49884444,5,4,45
4,BE,1.0074,0.50377333,0.39194554,2,4,36
4,BE,1.0074,0.50377333,0.39194554,6,6,30
4,BE,1.0074,0.50377333,0.5852306,7,7,38
4,BE,1.0074,0.50377333,0.41471794,1,3,65
4,BE,1.0074,0.50377333,0.5699338,7,4,52
4,BE,1.0074,0.50377333,0.41456643,1,5,888
4,BE,1.0074,0.50377333,0.5699338,5,4,35
4,BE,1.0074,0.50377333,0.40231818,2,7,4
4,BE,1.0074,0.50377333,0.39180237,7,6,30
4,BE,1.0074,0.50377333,0.48410624,5,6,42
4,BE,1.0074,0.50377333,0.49884444,7,2,65
4,BE,1.0074,0.50377333,0.5699338,4,1,40
4,BE,1.0074,0.50377333,0.5850167,3,6,8
4,BE,1.0074,0.50377333,0.4839294,7,4,17
4,BE,1.0074,0.50377333,0.60304743,2,4,45
4,BE,1.0074,0.50377333,0.6028271,4,6,24
4,BE,1.0074,0.50377333,0.5697256,2,3,60
4,BE,1.0074,0.50377333,0.41471794,3,4,45
4,BE,1.0074,0.50377333,0.5852306,7,6,38
4,BE,1.0074,0.50377333,0.48410624,2,6,40
4,BE,1.0074,0.50377333,0.41471794,4,4,50
4,BE,1.0074,0.50377333,0.49884444,7,6,8
4,BE,1.0074,0.50377333,0.5699338,4,4,60
4,BE,1.0074,0.50377333,0.5852306,2,5,7
4,BE,1.0074,0.50377333,0.4839294,2,7,40
4,BE,1.0074,0.50377333,0.41456643,1,7,30
4,BE,1.0074,0.50377333,0.4712804,5,7,30
4,BE,1.0074,0.50377333,0.41471794,4,7,70
4,BE,1.0074,0.50377333,0.5699338,7,2,40
4,BE,1.0074,0.50377333,0.4839294,4,6,4
4,BE,1.0074,0.50377333,0.40246522,2,7,45
4,BE,1.0074,0.50377333,0.49866217,5,1,666
4,BE,1.0074,0.50377333,0.39180237,5,5,41
4,BE,1.0074,0.50377333,0.5697256,7,7,666
4,BE,1.0074,0.50377333,0.60304743,6,5,50
4,BE,1.0074,0.50377333,0.5852306,6,6,8
4,BE,1.0074,0.50377333,0.49866217,2,7,30
4,BE,1.0074,0.50377333,0.5699338,5,4,35
4,BE,1.0074,0.50377333,0.5697256,7,4,19
4,BE,1.0074,0.50377333,0.41471794,3,4,46
4,BE,1.0074,0.50377333,0.47145262,5,4,60
4,BE,1.0074,0.50377333,0.40246522,5,7,45
4,BE,1.0074,0.50377333,0.41471794,2,7,47
4,BE,1.0074,0.50377333,0.39194554,3,5,50
4,BE,1.0074,0.50377333,0.39194554,5,6,45
4,BE,1.0074,0.50377333,0.5852306,1,7,666
4,BE,1.0074,0.50377333,0.49866217,2,4,40
4,BE,1.0074,0.50377333,0.39180237,6,6,30
4,BE,1.0074,0.50377333,0.4839294,2,7,666
4,BE,1.0074,0.50377333,0.41456643,1,4,21
4,BE,1.0074,0.50377333,0.5697256,7,4,666
4,BE,1.0074,0.50377333,0.41471794,7,6,65
4,BE,1.0074,0.50377333,0.5699338,7,5,38
4,BE,1.0074,0.50377333,0.41471794,4,4,32
4,BE,1.0074,0.50377333,0.60304743,6,4,40
4,BE,1.0074,0.50377333,0.47145262,5,6,30
4,BE,1.0074,0.50377333,0.41456643,7,4,25
4,BE,1.0074,0.50377333,0.5850167,3,6,666
4,BE,1.0074,0.50377333,0.40231818,2,4,38
4,BE,1.0074,0.50377333,0.39180237,2,6,15
4,BE,1.0074,0.50377333,0.5697256,5,5,45
4,BE,1.0074,0.50377333,0.41471794,2,4,70
4,BE,1.0074,0.50377333,0.47145262,7,4,60
4,BE,1.0074,0.50377333,0.4839294,4,5,6
4,BE,1.0074,0.50377333,0.4839294,4,4,60
4,BE,1.0074,0.50377333,0.49866217,1,4,28
4,BE,1.0074,0.50377333,0.5697256,7,7,888
4,BE,1.0074,0.50377333,0.49884444,2,6,70
4,BE,1.0074,0.50377333,0.39194554,6,6,35
4,BE,1.0074,0.50377333,0.5850167,7,7,666
4,BE,1.0074,0.50377333,0.40231818,3,6,40
4,BE,1.0074,0.50377333,0.41456643,4,6,32
4,BE,1.0074,0.50377333,0.49884444,7,5,36
4,BE,1.0074,0.50377333,0.4839294,5,3,32
4,BE,1.0074,0.50377333,0.41471794,2,5,55
4,BE,1.0074,0.50377333,0.39180237,3,4,40
4,BE,1.0074,0.50377333,0.39194554,2,6,60
4,BE,1.0074,0.50377333,0.41456643,3,5,45
4,BE,1.0074,0.50377333,0.49884444,2,4,70
4,BE,1.0074,0.50377333,0.6028271,1,2,39
4,BE,1.0074,0.50377333,0.40246522,5,6,45
4,BE,1.0074,0.50377333,0.49884444,3,3,55
4,BE,1.0074,0.50377333,0.5850167,6,7,38
4,BE,1.0074,0.50377333,0.40231818,7,6,39
4,BE,1.0074,0.50377333,0.49884444,2,5,72
4,BE,1.0074,0.50377333,0.49866217,6,7,45
4,BE,1.0074,0.50377333,0.5697256,5,5,40
4,BE,1.0074,0.50377333,0.47145262,7,7,42
4,BE,1.0074,0.50377333,0.60304743,7,6,33
4,BE,1.0074,0.50377333,0.6028271,3,2,40
4,BE,1.0074,0.50377333,0.5699338,2,7,40
4,BE,1.0074,0.50377333,0.5852306,0,2,60
4,BE,1.0074,0.50377333,0.4839294,5,5,25
4,BE,1.0074,0.50377333,0.5699338,7,6,40
4,BE,1.0074,0.50377333,0.41456643,3,6,42
4,BE,1.0074,0.50377333,0.49884444,5,6,36
4,BE,1.0074,0.50377333,0.5697256,7,4,666
4,BE,1.0074,0.50377333,0.4839294,7,6,666
4,BE,1.0074,0.50377333,0.40231818,2,5,40
4,BE,1.0074,0.50377333,0.6028271,1,2,20
4,BE,1.0074,0.50377333,0.4712804,4,6,20
4,BE,1.0074,0.50377333,0.4712804,6,5,44
4,BE,1.0074,0.50377333,0.5697256,7,6,666
4,BE,1.0074,0.50377333,0.48410624,3,7,18
4,BE,1.0074,0.50377333,0.39194554,4,4,53
4,BE,1.0074,0.50377333,0.5699338,7,6,40
4,BE,1.0074,0.50377333,0.40231818,1,3,50
4,BE,1.0074,0.50377333,0.4839294,3,7,666
4,BE,1.0074,0.50377333,0.40231818,1,6,33
4,BE,1.0074,0.50377333,0.5697256,5,4,19
4,BE,1.0074,0.50377333,0.49866217,4,6,20
4,BE,1.0074,0.50377333,0.5699338,7,6,19
