indicatorId,geoUnit,year,value,qualifier,magnitude
CR.1,ALB,2000,95.19,,
CR.1,ALB,2005,98.91,,
CR.1,ALB,2009,98.19074249267578,,
CR.1,ALB,2017,95.4015884399414,,
CR.1,AUT,2006,100,,
CR.1,AUT,2007,98.78,,
CR.1,AUT,2008,99.345,,
CR.1,AUT,2009,98.995,,
CR.1,AUT,2010,99.045,,
CR.1,AUT,2011,99.11,,
CR.1,AUT,2012,99.335,,
CR.1,AUT,2013,99.08500000000001,,
CR.1,AUT,2014,99.155,,
CR.1,AUT,2015,99.13,,
CR.1,AUT,2016,99.15,,
CR.1,AUT,2017,98.96000000000001,,
CR.1,AUT,2018,98.72,,
CR.1,AUT,2019,98.575,,
CR.1,AUT,2020,98.605,,
CR.1,AUT,2021,98.99,,
CR.1,BEL,2021,97.7,,
CR.1,BGR,2007,97.655,,
CR.1,BGR,2008,97.56,,
CR.1,BGR,2010,98.235,,
CR.1,BGR,2011,98.095,,
CR.1,BGR,2012,97.91,,
CR.1,BGR,2013,98.50999999999999,,
CR.1,BGR,2014,97.52,,
CR.1,BGR,2015,98.335,,
CR.1,BGR,2016,98.045,,
CR.1,BGR,2017,98.405,,
CR.1,BGR,2018,98.17,,
CR.1,BGR,2020,97.605,,
CR.1,BGR,2021,98.995,,
CR.1,BIH,2000,99.25,,
CR.1,BIH,2006,99.2,,
CR.1,BIH,2012,99.73966217041016,,
CR.1,BLR,2005,99.83,,
CR.1,BLR,2012,99.76952362060547,,
CR.1,BLR,2019,100,,
CR.1,CHE,2006,97.72,,
CR.1,CHE,2007,97.82,,
CR.1,CHE,2010,99.2,,
CR.1,CHE,2011,99.095,,
CR.1,CHE,2012,99.165,,
CR.1,CHE,2013,99.2,,
CR.1,CHE,2014,99.425,,
CR.1,CHE,2015,99.4,,
CR.1,CHE,2016,99.32,,
CR.1,CHE,2017,99.25,,
CR.1,CHE,2018,99.165,,
CR.1,CHE,2019,98.905,,
CR.1,CHE,2020,99.17,,
CR.1,CHE,2021,99.35000000000001,,
CR.1,CYP,2006,97.605,,
CR.1,CYP,2007,98.555,,
CR.1,CYP,2008,98.53,,
CR.1,CYP,2009,99.165,,
CR.1,CYP,2010,98.42,,
CR.1,CYP,2011,97.86,,
CR.1,CYP,2012,98.395,,
CR.1,CYP,2013,99.435,,
CR.1,CYP,2014,99.435,,
CR.1,CYP,2015,98.455,,
CR.1,CYP,2016,98.06,,
CR.1,CYP,2017,98.28,,
CR.1,CYP,2018,98.83999999999999,,
CR.1,CYP,2021,97.625,,
