Country Code,year,Expenditure,Completion Rate: Primary Education,Completion Rate: Lower Secondary Education,Completion Rate: Upper Secondary Education
ALB,2000,10.13702964782715,95.19,92.87,46.58
ALB,2001,10.58193016052246,,,
ALB,2002,9.886919975280762,,,
ALB,2003,10.57359981536865,,,
ALB,2004,10.70316028594971,,,
ALB,2005,11.35797023773193,98.91,97.09,46.95
ALB,2006,10.93295001983643,96.97421868097788,87.46882327768435,49.08522350995395
ALB,2007,11.17718982696533,96.94499813936436,87.20561211063682,49.92469178084275
ALB,2008,10.963780865109499,96.91577759775083,86.9424009435894,50.76416005173155
ALB,2009,10.98418175990004,98.19074249267578,64.52068328857422,48.16764068603516
ALB,2010,11.004582654690573,96.85733651452375,86.41597860949457,52.44309659350915
ALB,2011,10.96722347168107,96.82811597291021,86.15276744244716,53.282564864397955
ALB,2012,11.50985671468504,96.79889543129669,85.88955627539974,54.12203313528653
ALB,2013,12.12390995025635,96.76967488968316,85.62634510835233,54.96150140617533
ALB,2014,10.91816811673631,96.74045434806962,85.36313394130491,55.80096967706413
ALB,2015,11.17755031585693,96.71123380645608,85.0999227742575,56.64043794795293
ALB,2016,13.59696006774902,96.68201326484254,84.83671160720996,57.479906218841734
ALB,2017,12.38521003723145,95.4015884399414,93.55213165283205,60.51953125
ALB,2018,10.88173224365852,96.62357218161549,84.31028927311513,59.158842760619336
ALB,2019,13.43340015411377,96.59435164000195,84.04707810606772,59.99831103150814
ALB,2020,10.26743030548096,96.5651310983884,83.7838669390203,60.83777930239694
ALB,2021,9.40900993347168,96.53591055677488,83.52065577197288,61.67724757328574
ALB,2022,9.014089584350586,96.50669001516135,83.25744460492547,62.516715844174314
ALB,2023,10.85657978057861,,,
ALB,2024,11.290195181758051,,,
ALB,2025,11.310596076548585,,,
AND,2000,7.956466239871531,,,
AND,2001,8.092629102111005,,,
AND,2002,8.228791964350421,,,
AND,2003,8.364954826589837,,,
AND,2004,8.50111768882931,,,
AND,2005,8.637280551068727,,,
AND,2006,8.7734434133082,,,
AND,2007,8.909606275547617,,,
AND,2008,9.045769137787033,,,
AND,2009,9.181932000026507,,,
AND,2010,9.318094862265923,,,
AND,2011,9.45425772450534,,,
AND,2012,9.84161391329076,,,
AND,2013,6.195529937744141,,,
AND,2014,13.31521034240723,,,
AND,2015,10.44281005859375,,,
AND,2016,9.99098014831543,,,
AND,2017,9.39243984222412,,,
AND,2018,13.4619197845459,,,
AND,2019,10.89523983001709,,,
AND,2020,8.991869225938949,,,
AND,2021,10.26473536638295,,,
AND,2022,6.961249828338623,,,
AND,2023,12.76951536894096,,,
AND,2024,12.00451540811257,,,
AND,2025,12.12907962336176,,,
AUT,2000,11.0332202911377,99.6431397058824,99.2862794117647,82.8078529411764
AUT,2001,10.81678009033203,,,
AUT,2002,10.77766036987305,,,
AUT,2003,10.41788005828857,,,
AUT,2004,9.83547019958496,,,
AUT,2005,10.22817039489746,99.42762500000005,98.85524999999998,83.81049999999993
AUT,2006,10.33712005615234,100.0,100.0,84.14
AUT,2007,10.41668033599854,98.78,97.56,82.84
AUT,2008,10.51202964782715,99.345,98.69,83.25
AUT,2009,10.56037044525146,98.995,97.99,84.76
AUT,2010,10.75069046020508,99.045,98.09,84.34
AUT,2011,10.96181964874268,99.11,98.22,84.06
AUT,2012,10.65845966339111,99.335,98.67,84.78999999999999
AUT,2013,10.67006969451904,99.085,98.17,85.85000000000001
AUT,2014,10.49254035949707,99.155,98.31,88.59
AUT,2015,10.7222204208374,99.13,98.26,88.03999999999999
AUT,2016,10.87989044189453,99.15,98.3,88.78
AUT,2017,10.84245014190674,98.96,97.92,86.49
AUT,2018,10.68115043640137,98.72,97.44,86.53999999999999
AUT,2019,10.67115020751953,98.575,97.15,85.84
AUT,2020,9.735380172729492,98.605,97.21,84.61
AUT,2021,9.782340049743652,98.99,97.98,85.32
AUT,2022,9.95557975769043,98.69487500000004,97.38975000000005,87.21949999999993
AUT,2023,10.321353331856102,,,
AUT,2024,10.305599720581714,,,
AUT,2025,10.289846109307327,,,
BEL,2000,11.657783214862473,,76.84708823529354,78.68342647058796
BEL,2001,11.674630949409458,,,
BEL,2002,11.691478683956444,,,
BEL,2003,11.708326418503429,,,
BEL,2004,11.725174153050414,,,
BEL,2005,11.1755199432373,,81.2189999999996,80.59349999999972
BEL,2006,11.758869622144385,,86.22,82.25
BEL,2007,11.77571735669137,,85.5,82.24000000000001
BEL,2008,12.47245025634766,,84.28999999999999,81.78
BEL,2009,11.80014991760254,,86.15,82.66
BEL,2010,11.94892024993896,,82.28999999999999,82.41000000000001
BEL,2011,11.60301971435547,,81.49,80.34
BEL,2012,11.67440032958984,,82.34,83.09
BEL,2013,11.80877017974854,,82.45,82.44
BEL,2014,11.83518981933594,,91.88,83.96000000000001
BEL,2015,12.00726985931396,,91.79,84.48
BEL,2016,12.15122032165527,,93.85,84.5
BEL,2017,12.34185981750488,,93.98,85.41
BEL,2018,12.18058013916016,,94.15,85.88
BEL,2019,12.2196102142334,,92.08,85.3
BEL,2020,11.55578994750977,,94.56,86.6
BEL,2021,11.6143798828125,97.7,95.4,88.11
BEL,2022,12.01037979125977,,96.08349999999996,87.08774999999991
BEL,2023,12.04528110944312,,,
BEL,2024,12.062128843990106,,,
BEL,2025,12.078976578537091,,,
BGR,2000,10.867361551755423,97.44604347826088,94.39972058823525,83.52495588235297
BGR,2001,9.277739524841309,,,
BGR,2002,9.654319763183594,,,
BGR,2003,11.18025016784668,,,
BGR,2004,12.27917957305908,,,
BGR,2005,12.07252025604248,97.67245652173914,94.92574999999997,84.38400000000001
BGR,2006,12.01047992706299,97.71773913043478,93.84,80.75
BGR,2007,11.11392021179199,97.655,95.31,84.6
BGR,2008,12.61225986480713,97.56,95.12,84.33
BGR,2009,12.6567497253418,97.85358695652174,94.69,85.41
BGR,2010,11.16341972351074,98.235,96.47,86.7
BGR,2011,11.10004997253418,98.095,96.19,86.42
BGR,2012,10.69091987609863,97.91,95.82,87.36
BGR,2013,11.43980026245117,98.51,97.02,86.0
BGR,2014,11.31035041809082,97.52,95.04,87.72999999999999
BGR,2015,10.40633964538574,98.335,96.67,87.8
BGR,2016,11.6558198928833,98.045,96.09,86.69
BGR,2017,12.73095035552979,98.405,96.81,85.77
BGR,2018,11.79002952575684,98.17,96.34,87.62
BGR,2019,11.70670986175537,98.30641304347826,94.51,84.25
BGR,2020,11.91499996185303,97.605,95.21,85.11
BGR,2021,12.25271034240723,98.995,97.99,86.97
BGR,2022,11.98184967041016,98.4422608695652,96.71424999999999,87.30474999999996
BGR,2023,12.132762859394063,,,
BGR,2024,12.18778030755226,,,
BGR,2025,12.24279775571047,,,
BIH,2000,10.092803734999308,99.25,97.48,51.97000000000001
BIH,2001,10.090871370755588,,,
BIH,2002,10.088939006511868,,,
BIH,2003,10.087006642268147,,,
BIH,2004,10.085074278024425,,,
BIH,2005,10.083141913780706,99.35574887593586,97.73780443827306,63.362516555787806
BIH,2006,10.081209549536984,99.2,98.73,55.33
BIH,2007,10.079277185293265,99.43735923767089,97.63189628601067,70.21086092631231
BIH,2008,10.077344821049543,99.47816441853841,97.57894220987949,73.63503311157456
BIH,2009,10.075412456805822,99.51896959940592,97.52598813374829,77.05920529683681
BIH,2010,10.073480092562102,99.55977478027344,97.4730340576171,80.48337748209906
BIH,2011,10.07154772831838,99.60057996114095,97.42007998148591,83.90754966736131
BIH,2012,10.06961536407466,99.73966217041016,96.84455108642578,93.06006622314452
BIH,2013,10.06768299983094,99.68219032287598,97.31417182922353,90.75589403788581
BIH,2014,10.065750635587218,99.72299550374349,97.26121775309234,94.18006622314806
BIH,2015,10.063818271343498,99.76380068461101,97.20826367696114,97.60423840841031
BIH,2016,10.2874002456665,99.80460586547852,97.15530960082995,101.02841059367256
BIH,2017,10.059953542856057,99.84541104634604,97.10235552469877,104.4525827789339
BIH,2018,9.630789756774902,99.88621622721355,97.04940144856756,107.87675496419615
BIH,2019,10.13315010070801,99.92702140808107,96.99644737243638,111.3009271494584
BIH,2020,10.054156450124895,99.96782658894858,96.94349329630519,114.72509933472065
BIH,2021,10.1768798828125,100.0086317698161,96.89053922017399,118.1492715199829
BIH,2022,10.050291721637453,100.04943695068361,96.8375851440428,121.57344370524515
BIH,2023,10.048359357393732,,,
BIH,2024,10.04642699315001,,,
BIH,2025,10.04449462890629,,,
BLR,2000,0.0,99.72079358782088,99.50276838030133,82.88198888869601
BLR,2001,8.659934687881446,,,
BLR,2002,8.884809367227774,,,
BLR,2003,9.109684046574102,,,
BLR,2004,12.55235004425049,,,
BLR,2005,12.62010955810547,99.83,99.4,84.17999999999999
BLR,2006,12.45032024383545,99.79365073067802,99.56560690743582,85.53970604306255
BLR,2007,10.13372039794922,99.80579358782087,99.57607999529158,85.98265890212372
BLR,2008,10.234057443305744,99.81793644496372,99.58655308314732,86.42561176118477
BLR,2009,8.449549674987793,99.83007930210658,99.59702617100308,86.86856462024582
BLR,2010,11.77812957763672,99.84222215924945,99.60749925885882,87.31151747930699
BLR,2011,11.62664985656738,99.8543650163923,99.61797234671457,87.75447033836804
BLR,2012,12.75230026245117,99.76952362060548,99.93871307373048,90.03092956542969
BLR,2013,12.2739896774292,99.878650730678,99.63891852242607,88.64037605649025
BLR,2014,12.40672016143799,99.89079358782087,99.64939161028181,89.0833289155513
BLR,2015,11.46173000335693,99.90293644496371,99.65986469813757,89.52628177461236
BLR,2016,12.15878009796143,99.91507930210658,99.67033778599331,89.96923463367352
BLR,2017,12.28168964385986,99.92722215924942,99.68081087384907,90.41218749273457
BLR,2018,12.7802095413208,99.93936501639229,99.69128396170481,90.85514035179563
BLR,2019,13.33073997497559,100.0,99.54662322998048,90.38134002685548
BLR,2020,12.78114986419678,99.963650730678,99.71223013741631,91.74104606991784
BLR,2021,12.81599998474121,99.97579358782085,99.72270322527206,92.1839989289789
BLR,2022,12.17733001708984,99.98793644496371,99.73317631312781,92.62695178804006
BLR,2023,12.2770299911499,,,
BLR,2024,12.34191989898682,,,
BLR,2025,14.056926992193269,,,
CHE,2000,14.4521598815918,97.89108398684539,93.87624999999986,83.914044117647
CHE,2001,15.25533962249756,,,
CHE,2002,15.18126010894775,,,
CHE,2003,16.19942092895508,,,
CHE,2004,16.09639930725098,,,
CHE,2005,15.70398998260498,98.28580318745253,95.20124999999979,86.38499999999988
CHE,2006,15.85387992858887,97.72,95.44,83.85000000000001
CHE,2007,15.56042003631592,97.82,95.64,87.85
CHE,2008,15.88504028320313,98.52263470781679,93.74,87.86
CHE,2009,15.52213954925537,98.60157854793823,93.15,88.33
