STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,bmi,Body Mass Index,isced11,International Standard Classification of Education (ISCED 2011),sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_EHIS_BM1E(1.0),"Body mass index (BMI) by sex, age and educational attainment level",A,Annual,PC,Percentage,BMI18P5-24,Normal,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,TOTAL,Total,AT,Austria,2014,,45.6,,,,,
dataflow,ESTAT:HLTH_EHIS_BM1E(1.0),"Body mass index (BMI) by sex, age and educational attainment level",A,Annual,PC,Percentage,BMI18P5-24,Normal,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,TOTAL,Total,AT,Austria,2019,,40.9,,,,,
dataflow,ESTAT:HLTH_EHIS_BM1E(1.0),"Body mass index (BMI) by sex, age and educational attainment level",A,Annual,PC,Percentage,BMI18P5-24,Normal,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,TOTAL,Total,BE,Belgium,2014,,45.7,,,,,
dataflow,ESTAT:HLTH_EHIS_BM1E(1.0),"Body mass index (BMI) by sex, age and educational attainment level",A,Annual,PC,Percentage,BMI18P5-24,Normal,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,TOTAL,Total,BE,Belgium,2019,,41.0,,,,,
dataflow,ESTAT:HLTH_EHIS_BM1E(1.0),"Body mass index (BMI) by sex, age and educational attainment level",A,Annual,PC,Percentage,BMI18P5-24,Normal,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,TOTAL,Total,BG,Bulgaria,2014,,44.3,,,,,
dataflow,ESTAT:HLTH_EHIS_BM1E(1.0),"Body mass index (BMI) by sex, age and educational attainment level",A,Annual,PC,Percentage,BMI18P5-24,Normal,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,TOTAL,Total,BG,Bulgaria,2019,,48.1,,,,,
dataflow,ESTAT:HLTH_EHIS_BM1E(1.0),"Body mass index (BMI) by sex, age and educational attainment level",A,Annual,PC,Percentage,BMI18P5-24,Normal,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,TOTAL,Total,CY,Cyprus,2014,,43.8,,,,,
dataflow,ESTAT:HLTH_EHIS_BM1E(1.0),"Body mass index (BMI) by sex, age and educational attainment level",A,Annual,PC,Percentage,BMI18P5-24,Normal,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,TOTAL,Total,CY,Cyprus,2019,,39.6,,,,,
dataflow,ESTAT:HLTH_EHIS_BM1E(1.0),"Body mass index (BMI) by sex, age and educational attainment level",A,Annual,PC,Percentage,BMI18P5-24,Normal,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,TOTAL,Total,CZ,Czechia,2014,,42.6,,,,,
dataflow,ESTAT:HLTH_EHIS_BM1E(1.0),"Body mass index (BMI) by sex, age and educational attainment level",A,Annual,PC,Percentage,BMI18P5-24,Normal,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Females,TOTAL,Total,CZ,Czechia,2019,,46.2,,,,,
