cntry,essround,dweight,pweight,anweight,sclmeet,wkhtot
BE,10,0.88222027,0.7180754,0.69816715,5,666
BE,10,1.0476425,0.7180754,0.6381069,4,40
BE,10,1.0877413,0.7180754,0.51903284,4,42
BE,10,0.90990996,0.7180754,0.7220717,5,35
BE,10,0.9189489,0.7180754,0.45863864,6,40
BE,10,0.9137402,0.7180754,0.5070804,6,39
BE,10,1.0793686,0.7180754,1.4413204,5,38
BE,10,0.8988748,0.7180754,0.48225078,4,45
BE,10,1.0877413,0.7180754,0.8897226,6,45
BE,10,1.0793686,0.7180754,1.5318952,2,37
BE,10,0.90990996,0.7180754,0.7496143,5,888
BE,10,1.0793686,0.7180754,0.70080316,4,42
BE,10,1.0793686,0.7180754,1.3926469,7,28
BE,10,0.9176301,0.7180754,0.693663,6,38
BE,10,1.0594689,0.7180754,0.56367433,6,8
BE,10,1.0476425,0.7180754,0.89037555,6,666
BE,10,1.1353306,0.7180754,0.41334194,4,70
BE,10,1.0300072,0.7180754,0.5061051,6,43
BE,10,1.0912099,0.7180754,0.58471096,7,40
BE,10,1.0594689,0.7180754,0.6913477,7,38
BE,10,1.0912099,0.7180754,0.519376,7,40
BE,10,0.90990996,0.7180754,0.58712006,2,40
BE,10,1.0339676,0.7180754,0.6219464,6,777
BE,10,1.0476425,0.7180754,0.7392735,6,37
BE,10,0.90134495,0.7180754,0.3632794,4,35
BE,10,1.0339676,0.7180754,0.6219464,4,12
BE,10,1.0476425,0.7180754,0.54987174,3,48
BE,10,1.06315,0.7180754,0.731349,6,11
BE,10,1.0466028,0.7180754,0.58081245,7,38
BE,10,0.8985712,0.7180754,0.58341646,6,31
BE,10,1.0912099,0.7180754,0.519376,7,666
BE,10,1.0339676,0.7180754,0.5034496,5,25
BE,10,1.06315,0.7180754,0.7009388,6,666
BE,10,1.06315,0.7180754,0.5238234,4,40
BE,10,1.0476425,0.7180754,0.73931843,5,70
BE,10,1.0476425,0.7180754,0.6095104,7,40
BE,10,1.0339676,0.7180754,0.35477406,5,36
BE,10,0.9660232,0.7180754,0.68172,5,3
BE,10,1.06315,0.7180754,0.57258534,5,40
BE,10,0.9525171,0.7180754,0.8239069,5,98
BE,10,0.9113752,0.7180754,0.48082593,7,45
BE,10,1.0476425,0.7180754,0.54987174,3,38
BE,10,1.0877413,0.7180754,0.9931809,4,50
BE,10,0.915067,0.7180754,0.43894714,2,80
BE,10,1.0466028,0.7180754,0.48752686,6,60
BE,10,1.0594689,0.7180754,0.5369532,4,666
BE,10,1.0476425,0.7180754,0.65457416,7,70
BE,10,1.0339676,0.7180754,0.35477406,3,38
BE,10,1.0466028,0.7180754,0.7841731,6,38
BE,10,1.0793686,0.7180754,0.8364039,5,38
BE,10,0.9137402,0.7180754,0.5485007,4,36
BE,10,1.06315,0.7180754,0.5238234,5,888
BE,10,0.9660232,0.7180754,0.68172,5,45
BE,10,0.91075015,0.7180754,0.64182764,6,60
BE,10,0.92528105,0.7180754,0.5397505,5,38
BE,10,1.0476425,0.7180754,0.65457416,6,50
BE,10,1.0594689,0.7180754,0.44148636,3,42
BE,10,1.0594689,0.7180754,0.44148636,4,45
BE,10,1.0476425,0.7180754,0.6381069,5,39
BE,10,0.89165807,0.7180754,0.5363455,7,36
BE,10,0.91878974,0.7180754,0.26579013,4,45
BE,10,1.0912099,0.7180754,1.188325,6,34
BE,10,1.06315,0.7180754,0.36276987,6,42
BE,10,1.0877413,0.7180754,0.48692375,6,70
