essround,cntry,dweight,pweight,anweight,sclmeet,wkhtot
10,AT,0.74853796,0.3817861,1.2605247,4,999
10,AT,0.999471,0.3817861,0.35034874,6,45
10,AT,1.5111212,0.3817861,0.25343645,6,43
10,AT,2.9794238,0.3817861,1.1369178,6,42
10,AT,0.7572235,0.3817861,0.59928244,2,30
10,AT,1.055126,0.3817861,0.96965337,6,48
10,AT,0.38084924,0.3817861,0.30292636,6,40
10,AT,0.84995234,0.3817861,0.72203207,6,35
10,AT,0.72670966,0.3817861,0.23075919,3,999
10,AT,1.9978616,0.3817861,0.3121623,2,60
10,AT,0.7601139,0.3817861,0.11148983,4,39
10,AT,0.47667435,0.3817861,0.07313457,5,40
10,AT,2.6746774,0.3817861,1.5271444,4,42
10,AT,1.2635202,0.3817861,1.0733564,4,45
10,AT,0.9618752,0.3817861,1.1515946,6,999
10,AT,1.1041481,0.3817861,0.73271114,4,30
10,AT,0.5113075,0.3817861,0.19135223,5,42
10,AT,0.8349567,0.3817861,0.15273523,5,999
10,AT,1.0126709,0.3817861,0.32156315,6,999
10,AT,1.0240833,0.3817861,0.32518703,7,40
10,AT,0.79382676,0.3817861,0.15736978,6,40
10,AT,0.44766283,0.3817861,0.069946535,5,35
10,AT,1.8744552,0.3817861,0.46360067,1,50
10,AT,0.84995234,0.3817861,0.72415084,7,999
10,AT,2.0896719,0.3817861,0.78204155,7,40
10,AT,0.8349567,0.3817861,0.14003405,3,40
10,AT,0.84995234,0.3817861,0.63145614,2,32
10,AT,0.52963287,0.3817861,0.15700823,6,30
10,AT,0.7455467,0.3817861,0.12540565,6,45
10,AT,1.5205424,0.3817861,1.5271444,4,999
10,AT,0.9755621,0.3817861,0.30887341,4,999
10,AT,1.1742966,0.3817861,0.15384765,3,30
10,AT,1.0254709,0.3817861,0.32562765,6,50
10,AT,1.022615,0.3817861,0.3237708,6,30
10,AT,1.1883165,0.3817861,0.45247415,4,45
10,AT,0.9193351,0.3817861,0.23314464,6,45
10,AT,0.40422294,0.3817861,0.25635752,3,40
10,AT,0.528447,0.3817861,0.810351,6,40
10,AT,1.0218302,0.3817861,0.17137533,4,999
10,AT,1.055126,0.3817861,0.33504444,4,48
10,AT,0.8915591,0.3817861,0.9108526,3,39
10,AT,0.72670966,0.3817861,0.18429464,5,20
10,AT,0.90981275,0.3817861,0.77515095,4,40
10,AT,0.74853796,0.3817861,0.58171064,6,20
10,AT,1.5662137,0.3817861,0.20519371,6,999
10,AT,0.5113075,0.3817861,0.1296682,4,45
10,AT,1.2295516,0.3817861,1.2561588,4,999
10,AT,0.72670966,0.3817861,0.21048342,6,41
10,AT,1.0883634,0.3817861,0.1709093,6,55
10,AT,0.84045357,0.3817861,0.14095592,6,50
10,AT,0.527563,0.3817861,0.18218198,4,20
10,AT,0.66631395,0.3817861,0.11207819,6,999
10,AT,1.4823618,0.3817861,0.4394423,4,60
10,AT,0.60090894,0.3817861,0.15239127,6,48
10,AT,0.5442396,0.3817861,0.5560169,6,999
10,AT,0.78368235,0.3817861,0.62022233,4,24
10,AT,1.6325451,0.3817861,0.21931113,6,60
10,AT,1.089091,0.3817861,0.34481803,4,55
10,AT,0.9348352,0.3817861,0.23707548,4,50
10,AT,1.6394022,0.3817861,1.5271444,7,6
10,AT,1.089411,0.3817861,0.21596715,6,44
10,AT,0.5348329,0.3817861,0.15775706,6,45
10,AT,0.44928023,0.3817861,0.11393808,5,40
10,AT,0.84045357,0.3817861,0.14095592,6,50
