essround,cntry,tvtot,sclmeet,wkhtot,dweight,pweight
3,AT,5,6,40,1.2429,0.28911608
3,AT,3,5,36,0.8286,0.28911608
3,AT,1,6,40,0.8286,0.28911608
3,AT,4,5,20,1.2429,0.28911608
3,AT,6,6,888,0.8286,0.28911608
3,AT,7,7,40,1.6572,0.28911608
3,AT,1,7,50,0.4143,0.28911608
3,AT,7,3,20,1.6572,0.28911608
3,AT,3,4,34,0.8286,0.28911608
3,AT,7,5,25,0.8286,0.28911608
3,AT,0,7,888,0.4143,0.28911608
3,AT,4,5,666,1.2429,0.28911608
3,AT,5,3,39,0.4143,0.28911608
3,AT,3,6,39,0.8286,0.28911608
3,AT,2,6,45,1.2429,0.28911608
3,AT,4,2,25,0.8286,0.28911608
3,AT,3,2,50,1.6572,0.28911608
3,AT,7,1,30,0.4143,0.28911608
3,AT,2,2,888,1.2429,0.28911608
3,AT,7,1,40,0.8286,0.28911608
3,AT,7,4,888,0.8286,0.28911608
3,AT,4,5,43,0.8286,0.28911608
3,AT,7,7,41,1.2429,0.28911608
3,AT,2,7,38,1.2429,0.28911608
3,AT,6,5,38,0.8286,0.28911608
3,AT,7,2,40,0.4143,0.28911608
3,AT,7,5,46,1.2429,0.28911608
3,AT,6,7,30,0.4143,0.28911608
3,AT,6,6,40,0.4143,0.28911608
3,AT,4,5,20,0.4143,0.28911608
3,AT,5,6,32,0.8286,0.28911608
3,AT,3,4,40,1.6572,0.28911608
3,AT,4,7,40,1.2429,0.28911608
3,AT,2,6,23,0.8286,0.28911608
3,AT,6,3,40,0.8286,0.28911608
3,AT,5,7,15,1.6572,0.28911608
3,AT,5,7,42,2.0715,0.28911608
3,AT,4,7,666,1.2429,0.28911608
3,AT,4,6,40,1.6572,0.28911608
3,AT,5,6,45,0.8286,0.28911608
3,AT,4,6,43,0.8286,0.28911608
3,AT,3,5,60,0.4143,0.28911608
3,AT,2,6,40,0.8286,0.28911608
3,AT,7,6,35,0.4143,0.28911608
3,AT,3,4,40,0.8286,0.28911608
3,AT,3,7,12,0.8286,0.28911608
3,AT,3,6,43,0.4143,0.28911608
3,AT,2,6,29,1.6572,0.28911608
3,AT,4,7,40,1.6572,0.28911608
3,AT,5,6,20,0.8286,0.28911608
3,AT,3,5,20,1.2429,0.28911608
3,AT,4,5,40,0.8286,0.28911608
3,AT,4,4,40,1.2429,0.28911608
3,AT,4,6,40,1.2429,0.28911608
3,AT,4,6,40,0.8286,0.28911608
3,AT,7,5,42,0.8286,0.28911608
3,AT,4,7,43,2.0715,0.28911608
3,AT,2,3,42,0.8286,0.28911608
3,AT,1,6,30,1.6572,0.28911608
3,AT,2,6,47,0.8286,0.28911608
3,AT,4,7,45,0.4143,0.28911608
3,AT,3,6,45,0.8286,0.28911608
3,AT,4,7,24,1.2429,0.28911608
3,AT,4,4,777,1.2429,0.28911608
3,AT,4,7,24,1.2429,0.28911608
3,AT,1,7,50,1.2429,0.28911608
3,AT,3,7,50,1.2429,0.28911608
3,AT,1,4,40,0.8286,0.28911608
3,AT,7,5,777,0.8286,0.28911608
3,AT,7,6,40,0.8286,0.28911608
3,AT,4,6,40,0.8286,0.28911608
3,AT,7,6,45,0.4143,0.28911608
3,AT,5,6,39,1.6572,0.28911608
3,AT,6,6,38,0.4143,0.28911608
3,AT,7,7,60,1.6572,0.28911608
3,AT,0,6,888,1.6572,0.28911608
3,AT,5,6,27,1.2429,0.28911608
3,AT,5,6,40,1.6572,0.28911608
3,AT,6,6,44,2.0715,0.28911608
3,AT,2,7,666,0.8286,0.28911608
3,AT,6,6,40,0.4143,0.28911608
3,AT,7,5,45,0.4143,0.28911608
3,AT,4,5,42,0.8286,0.28911608
3,AT,6,5,666,0.8286,0.28911608
3,AT,5,6,45,0.4143,0.28911608
3,AT,3,5,888,0.4143,0.28911608
3,AT,6,5,40,0.4143,0.28911608
3,AT,5,6,888,0.8286,0.28911608
3,AT,5,7,10,0.8286,0.28911608
3,AT,1,6,40,0.4143,0.28911608
3,AT,6,6,40,0.4143,0.28911608
3,AT,0,7,888,0.4143,0.28911608
3,AT,2,4,50,0.8286,0.28911608
3,AT,6,5,9,0.8286,0.28911608
3,AT,3,5,24,0.8286,0.28911608
3,AT,0,7,60,0.4143,0.28911608
3,AT,0,5,18,0.8286,0.28911608
3,AT,6,4,40,1.2429,0.28911608
3,AT,4,6,50,0.4143,0.28911608
3,AT,4,6,20,0.4143,0.28911608
3,AT,4,6,40,0.4143,0.28911608
3,AT,7,6,25,0.8286,0.28911608
3,AT,4,4,20,0.8286,0.28911608
3,AT,0,4,30,0.8286,0.28911608
3,AT,6,4,39,0.8286,0.28911608
