essround,cntry,dweight,pweight,anweight,tvtot,sclmeet,wkhtot
6,AL,0.7750692,0.18600808,0.09974151,7,5,80
6,AL,1.3544285,0.18600808,0.12267601,7,3,666
6,AL,2.9335523,0.18600808,0.33771816,4,7,48
6,AL,0.9688365,0.18600808,0.09933694,0,6,666
6,AL,1.3250009,0.18600808,0.34987435,6,4,40
6,AL,0.048142906,0.18600808,0.012712419,7,6,70
6,AL,1.26996,0.18600808,0.3542075,7,4,24
6,AL,1.3250009,0.18600808,0.36204007,7,4,70
6,AL,0.95247006,0.18600808,0.21666451,7,4,666
6,AL,0.77185315,0.18600808,0.084459536,3,7,666
6,AL,0.9628581,0.18600808,0.23843339,2,7,9
6,AL,0.5417714,0.18600808,0.042236846,7,4,9
6,AL,1.0600007,0.18600808,0.27989945,2,7,80
6,AL,0.63498,0.18600808,0.06660229,1,6,80
6,AL,0.63498,0.18600808,0.06660229,6,3,48
6,AL,0.31749,0.18600808,0.08557623,2,4,64
6,AL,0.95247006,0.18600808,0.21400553,5,6,48
6,AL,1.0835428,0.18600808,0.20140086,2,6,777
6,AL,1.0600007,0.18600808,0.23621933,5,2,666
6,AL,1.9296328,0.18600808,0.23287293,1,2,777
6,AL,0.5417714,0.18600808,0.122545496,0,3,777
6,AL,1.5812002,0.18600808,0.22486855,2,4,42
6,AL,0.77185315,0.18600808,0.038652368,5,6,100
6,AL,0.8126571,0.18600808,0.14991926,6,7,666
6,AL,1.5437063,0.18600808,0.13834016,5,4,666
6,AL,0.23292625,0.18600808,0.023934279,5,5,84
6,AL,1.5437063,0.18600808,0.16891907,0,1,666
6,AL,1.8962,0.18600808,0.28513935,5,7,86
6,AL,0.77185315,0.18600808,0.10278145,7,3,50
6,AL,2.8257673,0.18600808,0.5792712,1,7,777
6,AL,1.8550012,0.18600808,0.45935556,4,3,666
6,AL,0.94872016,0.18600808,0.13969016,1,2,666
6,AL,0.23318368,0.18600808,0.052744776,5,4,48
6,AL,0.63248014,0.18600808,0.093126774,7,3,666
6,AL,0.31624007,0.18600808,0.046563387,2,3,666
6,AL,0.43495125,0.18600808,0.050072722,5,6,56
6,AL,1.5812002,0.18600808,0.4261966,6,7,56
6,AL,0.63248014,0.18600808,0.17220004,5,6,50
6,AL,4,0.18600808,0.37669912,2,4,30
6,AL,2.6960027,0.18600808,0.59342635,7,7,50
6,AL,0.7750692,0.18600808,0.06861394,3,2,24
6,AL,1.540573,0.18600808,0.16855633,7,3,100
6,AL,0.23318368,0.18600808,0.021120379,7,3,666
6,AL,1.5501384,0.18600808,0.14166507,3,4,84
6,AL,2.098653,0.18600808,0.31558308,0,7,666
6,AL,0.14373255,0.18600808,0.026108831,7,7,80
6,AL,2.0015852,0.18600808,0.18129157,3,4,79
6,AL,1.4354967,0.18600808,0.15398848,7,7,40
6,AL,0.80771863,0.18600808,0.19227315,3,5,666
6,AL,1.2115779,0.18600808,0.09940404,6,6,56
6,AL,0.17488776,0.18600808,0.020883376,6,4,100
6,AL,0.17661045,0.18600808,0.03620445,2,4,777
6,AL,0.54325044,0.18600808,0.13396929,7,7,48
6,AL,4,0.18600808,0.53264767,4,7,777
6,AL,0.33537593,0.18600808,0.03669397,7,2,666
6,AL,2.7274437,0.18600808,0.3509872,6,7,666
6,AL,3.2298677,0.18600808,0.38978854,6,6,2
6,AL,0.05887015,0.18600808,0.01331608,7,4,40
6,AL,0.14354967,0.18600808,0.015590178,7,2,20
6,AL,0.14128837,0.18600808,0.027517822,6,4,777
6,AL,1.4354967,0.18600808,0.15398848,7,7,42
6,AL,0.80771863,0.18600808,0.10150295,6,4,45
6,AL,0.09582169,0.18600808,0.02109164,7,7,70
6,AL,1.6154373,0.18600808,0.31599677,1,2,70
6,AL,0.3545546,0.18600808,0.04233742,4,3,666
6,AL,2.8364367,0.18600808,0.5814584,7,7,666
6,AL,1.0749497,0.18600808,0.19526324,7,7,30
6,AL,1.7742981,0.18600808,0.09460823,7,4,666
6,AL,0.3545546,0.18600808,0.080198154,7,2,666
6,AL,0.118184865,0.18600808,0.010704475,5,4,666
6,AL,2.661447,0.18600808,0.32119015,5,6,666
6,AL,2.1498995,0.18600808,0.3101121,7,3,666
6,AL,0.23636973,0.18600808,0.04393464,2,2,666
6,AL,1.0350072,0.18600808,0.13782355,7,2,70
6,AL,0.21873215,0.18600808,0.023934625,7,7,60
6,AL,0.14582142,0.18600808,0.018954841,0,7,80
6,AL,0.23175985,0.18600808,0.020689074,7,6,20
6,AL,0.36455357,0.18600808,0.03989104,5,3,40
6,AL,1.1902932,0.18600808,0.09765773,7,4,70
6,AL,0.804322,0.18600808,0.1914646,7,2,75
6,AL,2.010805,0.18600808,0.2526903,5,3,666
6,AL,0.5394163,0.18600808,0.14738883,7,7,50
