essround,cntry,dweight,pweight,anweight,sclmeet,wkhtot
8,AT,0.61167705,0.3703929,0.43650636,6,40
8,AT,1.2233541,0.3703929,0.33315787,4,50
8,AT,0.38905773,0.3703929,0.11695279,4,38
8,AT,0.642594,0.3703929,0.17499857,4,40
8,AT,3.4324021,0.3703929,0.83216375,6,40
8,AT,1.1805793,0.3703929,0.3746076,6,40
8,AT,1.2734222,0.3703929,0.68079317,7,50
8,AT,2.1640499,0.3703929,0.44550925,6,42
8,AT,0.4131185,0.3703929,0.11883351,4,30
8,AT,1.7849587,0.3703929,0.36949447,6,40
8,AT,0.41295302,0.3703929,0.20373817,7,20
8,AT,1.0553485,0.3703929,0.25601256,4,60
8,AT,0.4739466,0.3703929,0.15229677,5,42
8,AT,0.8666936,0.3703929,0.24930428,6,25
8,AT,0.767498,0.3703929,0.47422865,4,45
8,AT,0.62280774,0.3703929,0.23993318,4,40
8,AT,1.7364239,0.3703929,1.0866848,5,45
8,AT,0.5087625,0.3703929,0.13855204,5,41
8,AT,0.87705755,0.3703929,0.25808564,4,20
8,AT,1.017525,0.3703929,0.25922588,3,25
8,AT,0.50551033,0.3703929,0.18723768,5,40
8,AT,1.6518118,0.3703929,1.0858341,3,40
8,AT,1.0742333,0.3703929,0.25733137,5,44
8,AT,1.7662833,0.3703929,0.5675726,3,40
8,AT,1.1410472,0.3703929,0.710242,6,777
8,AT,0.6480055,0.3703929,0.1334038,4,39
8,AT,1.44096,0.3703929,0.27459186,4,8
8,AT,0.53482395,0.3703929,0.15013799,6,40
8,AT,1.2153455,0.3703929,0.6884327,7,40
8,AT,0.89775264,0.3703929,0.17878243,7,40
8,AT,1.3845699,0.3703929,0.2625518,4,45
8,AT,0.37437674,0.3703929,0.08951401,5,45
8,AT,0.8669471,0.3703929,0.2732152,5,45
8,AT,1.1259264,0.3703929,0.2868423,4,20
8,AT,1.3907148,0.3703929,0.27695304,5,888
8,AT,2.6845434,0.3703929,0.87167263,6,43
8,AT,1.9440165,0.3703929,0.4690023,6,45
8,AT,2.908315,0.3703929,1.4815714,7,45
8,AT,1.8502984,0.3703929,0.44240916,4,20
8,AT,1.1397051,0.3703929,0.82383937,6,70
8,AT,1.3886967,0.3703929,0.79723036,4,40
8,AT,0.6367112,0.3703929,0.24056369,5,666
8,AT,0.74875355,0.3703929,0.2098007,5,666
8,AT,1.1693654,0.3703929,0.30138353,6,38
8,AT,0.88929296,0.3703929,0.18307726,4,40
8,AT,0.889293,0.3703929,0.22531387,2,50
8,AT,0.8666936,0.3703929,0.5110733,6,39
8,AT,1.1784298,0.3703929,0.30021808,7,42
8,AT,0.56233686,0.3703929,0.61254334,6,48
8,AT,0.6228077,0.3703929,0.17915055,6,40
8,AT,0.8263533,0.3703929,0.23653454,4,40
8,AT,1.3148706,0.3703929,0.3782224,5,40
8,AT,0.8263533,0.3703929,0.42153254,4,40
8,AT,1.6397687,0.3703929,1.0381649,4,42
8,AT,1.1001256,0.3703929,0.76949304,6,50
8,AT,1.2456154,0.3703929,0.47986636,6,60
8,AT,1.0553485,0.3703929,0.5449451,6,50
8,AT,0.4333468,0.3703929,0.3199976,6,50
8,AT,0.9068252,0.3703929,0.2545677,6,40
8,AT,1.1899725,0.3703929,0.8491909,5,3
8,AT,0.6228077,0.3703929,0.51401997,1,50
8,AT,1.296011,0.3703929,0.3510074,5,42
8,AT,0.4033883,0.3703929,0.116034605,6,50
8,AT,1.2456154,0.3703929,0.3583011,5,40
8,AT,0.767498,0.3703929,0.23189496,6,40
8,AT,0.893642,0.3703929,0.523105,4,666
8,AT,1.7572243,0.3703929,0.36799592,6,666
8,AT,1.5563504,0.3703929,0.7735193,7,39
8,AT,0.8259059,0.3703929,0.42412832,5,40
8,AT,1.2294719,0.3703929,0.73329365,6,50
8,AT,0.7781752,0.3703929,0.38392746,5,666
8,AT,0.5426262,0.3703929,0.26919246,5,40
8,AT,0.53247005,0.3703929,0.27494895,4,38
8,AT,1.6518121,0.3703929,0.4473713,6,40
8,AT,0.65743524,0.3703929,0.25327334,4,40
8,AT,1.7970623,0.3703929,1.0297399,4,40
8,AT,0.46953857,0.3703929,0.18088715,6,40
8,AT,0.92304665,0.3703929,0.1493614,5,25
8,AT,0.4076942,0.3703929,0.20114371,5,40
8,AT,1.6525187,0.3703929,0.62435836,6,666
8,AT,1.0683297,0.3703929,0.2909398,4,41
8,AT,0.446821,0.3703929,0.1091381,6,42
8,AT,1.285188,0.3703929,0.6422746,7,60
8,AT,0.44575372,0.3703929,0.12575072,5,40
8,AT,0.6367111,0.3703929,0.34039658,4,5
8,AT,0.5500628,0.3703929,0.28403315,6,50
8,AT,0.4131185,0.3703929,0.15915166,3,38
8,AT,1.1001256,0.3703929,0.28026924,4,40
8,AT,0.53665406,0.3703929,0.1367186,5,38
8,AT,1.3466289,0.3703929,0.26817364,6,40
8,AT,2.4996924,0.3703929,0.53213173,5,42
8,AT,0.61473596,0.3703929,0.35225174,3,40
8,AT,1.5830227,0.3703929,0.77487975,6,50
8,AT,1.8781543,0.3703929,0.6035212,5,32
8,AT,1.8460933,0.3703929,0.2987228,4,23
8,AT,0.3890876,0.3703929,0.19196373,1,666
8,AT,1.661153,0.3703929,0.6489313,6,666
8,AT,1.0110208,0.3703929,0.28381783,4,40
8,AT,0.43852878,0.3703929,0.12904282,4,888
8,AT,0.7781155,0.3703929,0.19005845,6,25
8,AT,0.9987675,0.3703929,0.28176025,5,40
8,AT,0.88929296,0.3703929,0.21560329,5,40
8,AT,1.1707522,0.3703929,0.33027852,6,30
8,AT,0.89210397,0.3703929,0.14435439,5,18
8,AT,0.45341262,0.3703929,0.13367228,4,40
8,AT,0.9336193,0.3703929,0.29422674,4,45
8,AT,1.271096,0.3703929,0.31168532,6,40
8,AT,0.89775264,0.3703929,0.14526846,5,45
8,AT,1.3907149,0.3703929,0.27695307,6,40
8,AT,0.41317663,0.3703929,0.2418583,4,20
8,AT,2.3255782,0.3703929,0.48140493,5,80
8,AT,0.58166295,0.3703929,0.14207387,4,42
8,AT,0.446821,0.3703929,0.12789756,6,40
8,AT,1.3254508,0.3703929,0.2743741,6,40
8,AT,1.0234799,0.3703929,0.23897327,5,40
8,AT,1.760423,0.3703929,0.57161015,7,40
8,AT,1.7364239,0.3703929,0.35944745,6,46
8,AT,1.5262874,0.3703929,1.4815716,6,10
8,AT,1.1671731,0.3703929,0.28508753,5,31
8,AT,1.2019782,0.3703929,0.38139775,5,38
8,AT,0.49518752,0.3703929,0.15576509,6,50
8,AT,0.9868556,0.3703929,0.6097672,6,666
8,AT,1.1805792,0.3703929,0.4800835,6,40
8,AT,0.28116843,0.3703929,0.17801248,4,40
8,AT,0.60296565,0.3703929,0.15361226,5,16
8,AT,2.2794101,0.3703929,0.7170062,6,43
8,AT,0.53416485,0.3703929,0.57514805,6,23
8,AT,2.6623502,0.3703929,0.72504187,88,40
8,AT,0.446821,0.3703929,0.24357077,6,50
8,AT,1.0848502,0.3703929,0.26446646,4,30
8,AT,0.45827988,0.3703929,0.13510711,5,24
8,AT,1.0683297,0.3703929,0.2909398,4,70
8,AT,0.826237,0.3703929,0.42147323,5,40
8,AT,0.9478932,0.3703929,0.23152746,5,25
8,AT,1.1784298,0.3703929,0.8242639,1,30
8,AT,0.53247005,0.3703929,0.13565263,2,38
8,AT,1.0092835,0.3703929,0.31747794,6,60
8,AT,0.8977526,0.3703929,0.4391766,3,45
8,AT,0.8263533,0.3703929,0.23653454,6,40
