Country Name,year,Country Code,Access to electricity (% of population),"Access to electricity, rural (% of rural population)",Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),Agricultural land (sq. km),"Agricultural machinery, tractors","Agricultural machinery, tractors per 100 sq. km of arable land",Agricultural methane emissions (% of total),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (% of total),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials imports (% of merchandise imports),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (current US$)","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",Arable land (% of land area),Arable land (hectares per person),Arable land (hectares),Average precipitation in depth (mm per year),"Birth rate, crude (per 1,000 people)",Cereal production (metric tons),Cereal yield (kg per hectare),CPIA gender equality rating (1=low to 6=high),Crop production index (2004-2006 = 100),"Death rate, crude (per 1,000 people)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Food production index (2004-2006 = 100),Forest area (% of land area),Forest area (sq. km),GDP per capita (current US$),Land area (sq. km),Land under cereal production (hectares),"Literacy rate, adult total (% of people ages 15 and above)",Livestock production index (2004-2006 = 100),Mineral rents (% of GDP),"Mortality rate, infant (per 1,000 live births)",Net migration,Permanent cropland (% of land area),"Population, total",Rural land area (sq. km),Rural land area where elevation is below 5 meters (% of total land area),Rural land area where elevation is below 5 meters (sq. km),Rural population,Rural population (% of total population),Rural population growth (annual %),Rural population living in areas where elevation is below 5 meters (% of total population),Surface area (sq. km)
Afghanistan,1960,AFG,23.0,8.020723615,,,,,,,,,,53.75585242,0.966616617,38.62789186,1566430378.0,,11.71767301,0.834295773,7650000.0,327.0,51.279,3695000.0,1115.1,,,32.219,63.78099823,76.78199768,61.47100067,,,,2.067824648,13500.0,59.77319384,652860.0,3313500.0,,,,232.0,,0.076586098,8996973.0,,,,8241137.0,91.599,,,652860.0
Afghanistan,1961,AFG,23.0,8.020723615,,57.74591796,377000.0,120.0,0.156862745,,,,,53.75585242,0.966616617,38.62789186,1566430378.0,,11.71767301,0.834295773,7650000.0,327.0,51.373,3695000.0,1115.1,,65.69,31.649,63.78099823,76.78199768,61.47100067,,,53.21,2.067824648,13500.0,59.86087388,652860.0,3313500.0,,43.37,,232.0,,0.076586098,9169410.0,,,,8373138.0,91.316,1.58904048,,652860.0
Afghanistan,1962,AFG,23.0,8.020723615,,57.83782128,377600.0,150.0,0.194805195,,,,,53.75585242,0.966616617,38.62789186,1566430378.0,,11.79425911,0.823402511,7700000.0,327.0,51.457,3696000.0,1079.0,,67.18,31.093,63.78099823,76.78199768,61.47100067,,,53.86,2.067824648,13500.0,58.45801495,652860.0,3425500.0,,43.99,,232.0,-20000.0,0.091903318,9351441.0,,,,8512056.0,91.024,1.645478689,,652860.0
Afghanistan,1963,AFG,23.0,8.020723615,,57.91440738,378100.0,200.0,0.258064516,,,,,61.10060501,1.394437964,38.62789186,1566430378.0,,11.8708452,0.812096146,7750000.0,327.0,51.53,3378000.0,985.8,,65.58,30.551,63.78099823,76.78199768,61.47100067,,,53.83,2.067824648,13500.0,78.70638754,652860.0,3426500.0,,47.03,,227.8,-20000.0,0.091903318,9543205.0,,,,8657977.0,90.724,1.699758099,,652860.0
Afghanistan,1964,AFG,23.0,8.020723615,,58.01090586,378730.0,200.0,0.256410256,,,,,54.43718347,1.498233701,38.62789186,1566430378.0,,11.9474313,0.800428455,7800000.0,327.0,51.589,3732000.0,1082.8,,71.31,30.022,63.78099823,76.78199768,61.47100067,,,58.23,2.067824648,13500.0,82.09523071,652860.0,3446500.0,,48.56,,223.9,-20000.0,0.111815703,9744781.0,,,,8810646.0,90.414,1.747967051,,652860.0
Afghanistan,1965,AFG,23.0,8.020723615,,58.0139693,378750.0,300.0,0.384615385,,,,,45.76089561,1.080155565,38.62789186,1566430378.0,,11.9474313,0.783421987,7800000.0,327.0,51.631,3785000.0,1098.9,,73.82,29.501,63.78099823,76.78199768,61.47100067,,,61.03,2.067824648,13500.0,101.1083049,652860.0,3444500.0,,51.43,,219.9,-20000.0,0.114879147,9956320.0,,,,8970246.0,90.096,1.795233742,,652860.0
Afghanistan,1966,AFG,23.0,8.020723615,,58.07217474,379130.0,400.0,0.510529675,,,,,51.71498182,0.672908592,38.62789186,1566430378.0,,12.00104157,0.770036981,7835000.0,327.0,51.652,3489000.0,1012.3,,72.59,28.985,63.78099823,76.78199768,61.47100067,,,63.15,2.067824648,13500.0,137.5943521,652860.0,3446500.0,,56.97,,216.1,,0.119474313,10174836.0,,,,9133645.0,89.767,1.805174779,,652860.0
Afghanistan,1967,AFG,23.0,8.020723615,,58.17326839,379790.0,500.0,0.637429883,,,,,46.35572631,0.827609502,38.62789186,1566430378.0,,12.01482707,0.754236136,7844000.0,327.0,51.65,3826000.0,1224.5,,80.97,28.468,63.78099823,76.78199768,61.47100067,,,69.15,2.067824648,13500.0,160.8985889,652860.0,3124500.0,,60.26,,212.4,-20000.0,0.206782465,10399926.0,,,,9300654.0,89.43,1.811987204,,652860.0
Afghanistan,1968,AFG,23.0,8.020723615,,58.17480011,379800.0,500.0,0.637429883,,,,,38.09208735,1.035163115,38.62789186,1566430378.0,,12.01482707,0.737421598,7844000.0,327.0,51.623,3916000.0,1287.5,,82.92,27.946,63.78099823,76.78199768,61.47100067,,,72.22,2.067824648,13500.0,129.1083231,652860.0,3041500.0,,64.81,,208.6,-20000.0,0.208314187,10637063.0,,,,9475708.0,89.082,1.864675086,,652860.0
Afghanistan,1969,AFG,23.0,8.020723615,,58.19930766,379960.0,550.0,0.699745547,,0.0,,0.0,38.05079936,1.464899064,38.62789186,1566430378.0,,12.03933462,0.721512908,7860000.0,327.0,51.574,4038000.0,1310.4,,85.2,27.418,63.78099823,76.78199768,61.47100067,,,73.26,2.067824648,13500.0,129.3297129,652860.0,3081500.0,,65.16,,204.7,-20000.0,0.208314187,10893776.0,,,,9665503.0,88.725,1.983168363,,652860.0
