STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,frequenc,Frequency,pers_cat,Category of persons,deg_urb,Degree of urbanisation,hhcomp,Household composition,quant_inc,Income quantile,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,AL,Albania,2022,,4.9,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,AT,Austria,2015,,9.7,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,AT,Austria,2022,,5.3,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,BE,Belgium,2015,,5.8,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,BE,Belgium,2022,,4.9,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,BG,Bulgaria,2015,,15.1,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,BG,Bulgaria,2022,,4.1,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,CH,Switzerland,2015,,6.4,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,CH,Switzerland,2022,,5.7,,,,,
dataflow,ESTAT:ILC_SCP12$DV_2746(1.0),"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency",A,Annual,1M,Once a month,FAM_REL,Family and relatives,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,CY,Cyprus,2015,,1.5,,,,,
