STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,acl00,Classification of activities for time use,quant_inc,Income quantile,deg_urb,Degree of urbanisation,hhcomp,Household composition,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,AL,Albania,2022,,1.6,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,AT,Austria,2015,,28.3,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,AT,Austria,2022,,19.7,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,BE,Belgium,2015,,20.4,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,BE,Belgium,2022,,15.8,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,BG,Bulgaria,2015,,5.2,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,BG,Bulgaria,2022,,3.0,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,CH,Switzerland,2015,,36.5,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,CH,Switzerland,2022,,25.7,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,CY,Cyprus,2015,,7.2,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,CY,Cyprus,2022,,11.3,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,CZ,Czechia,2015,,12.2,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,CZ,Czechia,2022,,10.2,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,DE,Germany,2015,,28.6,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,DE,Germany,2022,,,,u,low reliability,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,DK,Denmark,2015,,38.1,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,DK,Denmark,2022,,25.9,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2022,,13.2,,e,estimated,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,EE,Estonia,2015,,16.4,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,EE,Estonia,2022,,10.4,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,EL,Greece,2015,,11.7,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,EL,Greece,2022,,7.4,,,,,
dataflow,ESTAT:ILC_SCP20$DV_2747(1.0),"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation",A,Annual,AC41A,Formal voluntary activities,TOTAL,Total,TOTAL,Total,TOTAL,Total,PC,Percentage,ES,Spain,2015,,10.7,,,,,
