indicatorId,geoUnit,year,value,qualifier,magnitude
CR.2,ALB,2000,92.86999999999999,,
CR.2,ALB,2005,97.09,,
CR.2,ALB,2009,64.52068328857422,,
CR.2,ALB,2017,93.55213165283203,,
CR.2,AUT,2006,100,,
CR.2,AUT,2007,97.56,,
CR.2,AUT,2008,98.69,,
CR.2,AUT,2009,97.99,,
CR.2,AUT,2010,98.09,,
CR.2,AUT,2011,98.22,,
CR.2,AUT,2012,98.67,,
CR.2,AUT,2013,98.17,,
CR.2,AUT,2014,98.31,,
CR.2,AUT,2015,98.26,,
CR.2,AUT,2016,98.3,,
CR.2,AUT,2017,97.92,,
CR.2,AUT,2018,97.44,,
CR.2,AUT,2019,97.15,,
CR.2,AUT,2020,97.21,,
CR.2,AUT,2021,97.98,,
CR.2,BEL,2006,86.22,,
CR.2,BEL,2007,85.5,,
CR.2,BEL,2008,84.28999999999999,,
CR.2,BEL,2009,86.15,,
CR.2,BEL,2010,82.28999999999999,,
CR.2,BEL,2011,81.49,,
CR.2,BEL,2012,82.34,,
CR.2,BEL,2013,82.45,,
CR.2,BEL,2014,91.88,,
CR.2,BEL,2015,91.79,,
CR.2,BEL,2016,93.85,,
CR.2,BEL,2017,93.97999999999999,,
CR.2,BEL,2018,94.15,,
CR.2,BEL,2019,92.08,,
CR.2,BEL,2020,94.56,,
CR.2,BEL,2021,95.39999999999999,,
CR.2,BGR,2006,93.84,,
CR.2,BGR,2007,95.30999999999999,,
CR.2,BGR,2008,95.12,,
CR.2,BGR,2009,94.69,,
CR.2,BGR,2010,96.47,,
CR.2,BGR,2011,96.19,,
CR.2,BGR,2012,95.82000000000001,,
CR.2,BGR,2013,97.02,,
CR.2,BGR,2014,95.04,,
CR.2,BGR,2015,96.67,,
CR.2,BGR,2016,96.09,,
CR.2,BGR,2017,96.81,,
CR.2,BGR,2018,96.34,,
CR.2,BGR,2019,94.51,,
CR.2,BGR,2020,95.21,,
CR.2,BGR,2021,97.99,,
CR.2,BIH,2000,97.48,,
CR.2,BIH,2006,98.72999999999999,,
CR.2,BIH,2012,96.84455108642578,,
CR.2,BLR,2005,99.4,,
CR.2,BLR,2012,99.93871307373047,,
CR.2,BLR,2019,99.54662322998047,,
CR.2,CHE,2006,95.44,,
CR.2,CHE,2007,95.64,,
CR.2,CHE,2008,93.74,,
CR.2,CHE,2009,93.15,,
CR.2,CHE,2010,98.4,,
CR.2,CHE,2011,98.19,,
CR.2,CHE,2012,98.33,,
CR.2,CHE,2013,98.4,,
CR.2,CHE,2014,98.85000000000001,,
CR.2,CHE,2015,98.8,,
CR.2,CHE,2016,98.64,,
CR.2,CHE,2017,98.5,,
CR.2,CHE,2018,98.33,,
CR.2,CHE,2019,97.81,,
CR.2,CHE,2020,98.34,,
CR.2,CHE,2021,98.7,,
CR.2,CYP,2006,95.21,,
CR.2,CYP,2007,97.11,,
CR.2,CYP,2008,97.06,,
CR.2,CYP,2009,98.33,,
CR.2,CYP,2010,96.84,,
CR.2,CYP,2011,95.72,,
CR.2,CYP,2012,96.78999999999999,,
CR.2,CYP,2013,98.87,,
CR.2,CYP,2014,98.87,,
CR.2,CYP,2015,96.91,,
CR.2,CYP,2016,96.12,,
CR.2,CYP,2017,96.56,,
CR.2,CYP,2018,97.68,,
CR.2,CYP,2019,94.17,,
CR.2,CYP,2020,94.85,,
CR.2,CYP,2021,95.25,,
CR.2,DEU,2006,94.47,,
CR.2,DEU,2007,95.28,,
CR.2,DEU,2008,93.83,,
CR.2,DEU,2009,92.53,,
CR.2,DEU,2010,94.04,,
CR.2,DEU,2011,96.23,,
CR.2,DEU,2012,96.57,,
CR.2,DEU,2013,96.89999999999999,,
CR.2,DEU,2014,93.87,,
CR.2,DEU,2015,92.62,,
CR.2,DEU,2016,93.22,,
CR.2,DEU,2017,93.16,,
CR.2,DEU,2018,92.99,,
CR.2,DEU,2019,92.69,,
CR.2,DEU,2020,93.64,,
CR.2,DEU,2021,92.2,,
CR.2,DNK,2006,99.31,,
CR.2,DNK,2007,99.89,,
CR.2,DNK,2008,99.91,,
CR.2,DNK,2009,100,,
CR.2,DNK,2010,100,,
CR.2,DNK,2011,100,,
CR.2,DNK,2012,99.97,,
CR.2,DNK,2013,99.87,,
CR.2,DNK,2014,98.4,,
CR.2,DNK,2015,98.59,,
CR.2,DNK,2016,98.97,,
CR.2,DNK,2017,99.07000000000001,,
CR.2,DNK,2018,99.00999999999999,,
CR.2,DNK,2019,98.79,,
CR.2,DNK,2020,98.77,,
CR.2,DNK,2021,98.83999999999999,,
CR.2,ESP,2006,92.25999999999999,,
CR.2,ESP,2007,90.97,,
CR.2,ESP,2008,87.96000000000001,,
CR.2,ESP,2009,85.53,,
CR.2,ESP,2010,88.36,,
CR.2,ESP,2011,88.11,,
CR.2,ESP,2012,90.92,,
CR.2,ESP,2013,87.18,,
CR.2,ESP,2014,93.58999999999999,,
CR.2,ESP,2015,95.05,,
CR.2,ESP,2016,94.28999999999999,,
CR.2,ESP,2017,96.53,,
CR.2,ESP,2018,95.75,,
CR.2,ESP,2019,95.93,,
CR.2,ESP,2020,96.84,,
CR.2,ESP,2021,97.23,,
CR.2,EST,2006,96.67,,
CR.2,EST,2007,96.97,,
CR.2,EST,2008,96.46000000000001,,
CR.2,EST,2009,96.75,,
CR.2,EST,2010,97.48,,
CR.2,EST,2011,97.92999999999999,,
CR.2,EST,2012,99.1,,
CR.2,EST,2013,98.19,,
CR.2,EST,2014,99.13,,
CR.2,EST,2015,98.82,,
CR.2,EST,2016,98.95,,
CR.2,EST,2017,99.07000000000001,,
CR.2,EST,2018,98.9,,
CR.2,EST,2019,99.03,,
CR.2,EST,2020,98.48,,
CR.2,EST,2021,99.49,,
CR.2,FIN,2006,99.57000000000001,,
CR.2,FIN,2007,99.3,,
CR.2,FIN,2008,99.71,,
CR.2,FIN,2009,99.59,,
CR.2,FIN,2010,99.44,,
CR.2,FIN,2011,99.67,,
CR.2,FIN,2012,99.66000000000001,,
CR.2,FIN,2013,99.71,,
CR.2,FIN,2014,99.69,,
CR.2,FIN,2015,98.57000000000001,,
CR.2,FIN,2016,99.41,,
CR.2,FIN,2017,99.29,,
CR.2,FIN,2018,99.47,,
CR.2,FIN,2019,99.3,,
CR.2,FIN,2020,99.08,,
CR.2,FIN,2021,99.53999999999999,,
CR.2,FRA,2006,98.67,,
CR.2,FRA,2007,98.50999999999999,,
CR.2,FRA,2008,98.53,,
CR.2,FRA,2009,98.33,,
CR.2,FRA,2010,98.53,,
CR.2,FRA,2011,97.99,,
CR.2,FRA,2012,98.54,,
CR.2,FRA,2013,98.83,,
CR.2,FRA,2014,98.47,,
CR.2,FRA,2015,98.92999999999999,,
CR.2,FRA,2016,98.69,,
CR.2,FRA,2017,98.36,,
CR.2,FRA,2018,98.82,,
CR.2,FRA,2019,98.79,,
CR.2,FRA,2020,98.15,,
CR.2,FRA,2021,98.27,,
CR.2,GBR,2006,99.27,,
CR.2,GBR,2007,98.54,,
CR.2,GBR,2008,99.07000000000001,,
CR.2,GBR,2009,98.88,,
CR.2,GBR,2010,99.21,,
CR.2,GBR,2011,99.27,,
CR.2,GBR,2012,99.56,,
CR.2,GBR,2013,99.4,,
CR.2,GBR,2014,99.92,,
CR.2,GBR,2015,99.95,,
CR.2,GBR,2016,99.71,,
CR.2,GBR,2017,99.41,,
CR.2,GBR,2018,99.59,,
CR.2,GBR,2019,99.59,,
CR.2,GRC,2006,95.83,,
CR.2,GRC,2007,96.08,,
CR.2,GRC,2008,96.89,,
CR.2,GRC,2009,96.49,,
CR.2,GRC,2010,96.22,,
CR.2,GRC,2011,96.41,,
CR.2,GRC,2012,96.86,,
CR.2,GRC,2013,96.67,,
CR.2,GRC,2014,97.2,,
CR.2,GRC,2015,97.81,,
CR.2,GRC,2016,98.54,,
CR.2,GRC,2017,97.56,,
CR.2,GRC,2018,98.35000000000001,,
CR.2,GRC,2019,98.52,,
CR.2,GRC,2020,98.94,,
CR.2,GRC,2021,98.11999999999999,,
CR.2,HRV,2006,98.72,,
