indicatorId,geoUnit,year,value,qualifier,magnitude
CR.3,ALB,2000,46.58,,
CR.3,ALB,2005,46.95,,
CR.3,ALB,2009,48.16764068603516,,
CR.3,ALB,2017,60.51953125,,
CR.3,AUT,2006,84.14,,
CR.3,AUT,2007,82.84,,
CR.3,AUT,2008,83.25,,
CR.3,AUT,2009,84.76,,
CR.3,AUT,2010,84.34,,
CR.3,AUT,2011,84.06,,
CR.3,AUT,2012,84.78999999999999,,
CR.3,AUT,2013,85.85000000000001,,
CR.3,AUT,2014,88.59,,
CR.3,AUT,2015,88.03999999999999,,
CR.3,AUT,2016,88.78,,
CR.3,AUT,2017,86.49,,
CR.3,AUT,2018,86.53999999999999,,
CR.3,AUT,2019,85.84,,
CR.3,AUT,2020,84.61,,
CR.3,AUT,2021,85.32,,
CR.3,BEL,2006,82.25,,
CR.3,BEL,2007,82.24000000000001,,
CR.3,BEL,2008,81.78,,
CR.3,BEL,2009,82.66,,
CR.3,BEL,2010,82.41000000000001,,
CR.3,BEL,2011,80.34,,
CR.3,BEL,2012,83.09,,
CR.3,BEL,2013,82.44,,
CR.3,BEL,2014,83.96000000000001,,
CR.3,BEL,2015,84.48,,
CR.3,BEL,2016,84.5,,
CR.3,BEL,2017,85.41,,
CR.3,BEL,2018,85.88,,
CR.3,BEL,2019,85.3,,
CR.3,BEL,2020,86.6,,
CR.3,BEL,2021,88.11,,
CR.3,BGR,2006,80.75,,
CR.3,BGR,2007,84.6,,
CR.3,BGR,2008,84.33,,
CR.3,BGR,2009,85.41,,
CR.3,BGR,2010,86.7,,
CR.3,BGR,2011,86.42,,
CR.3,BGR,2012,87.36,,
CR.3,BGR,2013,86,,
CR.3,BGR,2014,87.72999999999999,,
CR.3,BGR,2015,87.8,,
CR.3,BGR,2016,86.69,,
CR.3,BGR,2017,85.77,,
CR.3,BGR,2018,87.62,,
CR.3,BGR,2019,84.25,,
CR.3,BGR,2020,85.11,,
CR.3,BGR,2021,86.97,,
CR.3,BIH,2000,51.97000000000001,,
CR.3,BIH,2006,55.33,,
CR.3,BIH,2012,93.06006622314453,,
CR.3,BLR,2005,84.17999999999999,,
CR.3,BLR,2012,90.03092956542969,,
CR.3,BLR,2019,90.38134002685547,,
CR.3,CHE,2006,83.85000000000001,,
CR.3,CHE,2007,87.85,,
CR.3,CHE,2008,87.86,,
CR.3,CHE,2009,88.33,,
CR.3,CHE,2010,89.44,,
CR.3,CHE,2011,89.5,,
CR.3,CHE,2012,90.97,,
CR.3,CHE,2013,91.2,,
CR.3,CHE,2014,92.22,,
CR.3,CHE,2015,91.86,,
CR.3,CHE,2016,92.11,,
